Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Материал обивки,Цвет обивки,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг,Функция кресла-качалки,Гарантия
,,,,,,,,,,,,,,
"SL-660000-BK-01/1.png///SL-660000-BK-01/2.png///SL-660000-BK-01/3.jpg
",Игровые кресла///Speedlink,SL-660000-BK-01,Speedlink,"Игровое кресло Speedlink REGGER Gaming Chair, black","Speedlink REGGER – это оптимизированное эргономичное игровое геймерское компьютерное кресло, обеспечивающее абсолютную свободу движения. С помощью данного игрового кресла вы сами станете частью игры: вращение на 360 градусов, спинка с регулированием угла наклона, регулируемая по высоте система поддержки поясничного отдела позвоночника и регулируемые подлокотники, а также блокируемый механизм качания – это далеко не все особенности, которыми может похвастаться это кресло. Игровое  кресло Speedlink REGGER – это многочасовые игровые сражения с комфортом и без ощущения усталости!

Технические характеристики:

Игровое кресло, оптимизированное для компьютерных игр
Удобная обивочная ткань на спинке, сиденье и подлокотниках для длительных игр
Поворот на 360° для отличного обзора
Встроенный подголовник
Сиденье плавно регулируется по высоте
Спинка с регулировкой угла наклона (90-165°), включая положение лежа
Плавный, блокируемый механизм качания с регулируемым сопротивлением
Съемные подушки для шейного и поясничного отделов позвоночника с регулируемым положением на спинке кресла
Рекомендуемый рост: 170 – 190 см
Максимальная нагрузка на кресло: 150 кг
Размеры кресла: 65 × 69-131 × 124-132 см (Ш × Г × В)
Размер и вес кресла: 20 кг
Высота сиденья от пола: от 43 до 51 см
Ширина сиденья: ~50 см
Глубина сиденья: ~50 см
Высота спинки: ~81 см
Многоступенчато переустанавливаемые по высоте подлокотники (62-69/70-77см при минимальной/максимальной высоте сиденья от пола)
Монтажный инструмент входит в комплект",SL-660000-BK-01,Игровое,"Искусственная кожа, ткань",Черный/Красный,Высокая,до 165 градусов,150 кг,Есть,12 месяцев
"SL-660000-RD-01/1.png///SL-660000-RD-01/2.png///SL-660000-RD-01/3.png
",Игровые кресла///Speedlink,SL-660000-RD-01,Speedlink,"Игровое кресло Speedlink REGGER Gaming Chair, red","Speedlink REGGER – это оптимизированное эргономичное игровое геймерское компьютерное кресло, обеспечивающее абсолютную свободу движения. С помощью данного игрового кресла вы сами станете частью игры: вращение на 360 градусов, спинка с регулированием угла наклона, регулируемая по высоте система поддержки поясничного отдела позвоночника и регулируемые подлокотники, а также блокируемый механизм качания – это далеко не все особенности, которыми может похвастаться это кресло. Игровое  кресло Speedlink REGGER – это многочасовые игровые сражения с комфортом и без ощущения усталости!

Технические характеристики:

Игровое кресло, оптимизированное для компьютерных игр
Удобная обивочная ткань на спинке, сиденье и подлокотниках для длительных игр
Поворот на 360° для отличного обзора
Встроенный подголовник
Сиденье плавно регулируется по высоте
Спинка с регулировкой угла наклона (90-165°), включая положение лежа
Плавный, блокируемый механизм качания с регулируемым сопротивлением
Съемные подушки для шейного и поясничного отделов позвоночника с регулируемым положением на спинке кресла
Рекомендуемый рост: 170 – 190 см
Максимальная нагрузка на кресло: 150 кг
Размеры кресла: 65 × 69-131 × 124-132 см (Ш × Г × В)
Размер и вес кресла: 20 кг
Высота сиденья от пола: от 43 до 51 см
Ширина сиденья: ~50 см
Глубина сиденья: ~50 см
Высота спинки: ~81 см
Многоступенчато переустанавливаемые по высоте подлокотники (62-69/70-77см при минимальной/максимальной высоте сиденья от пола)
Монтажный инструмент входит в комплект",SL-660000-RD-01,Игровое,"Искусственная кожа, ткань",Красный/Черный,Высокая,до 165 градусов,150 кг,Есть,12 месяцев
"SL-660001-BKWE/1.jpg///SL-660001-BKWE/2.jpg///SL-660001-BKWE/3.jpg///SL-660001-BKWE/4.jpg///SL-660001-BKWE/5.jpg///SL-660001-BKWE/6.jpg
",Игровые кресла///Speedlink,SL-660001-BKWE,Speedlink,"Игровое кресло Speedlink LOOTER Gaming Chair, black-white","Speedlink LOOTER – это оптимизированное эргономичное игровое геймерское компьютерное кресло, обеспечивающее абсолютную свободу движения. С помощью данного игрового кресла вы сами станете частью игры: вращение на 360 градусов, спинка с регулированием угла наклона, регулируемая по высоте система поддержки поясничного отдела позвоночника и регулируемые подлокотники, а также блокируемый механизм качания – это далеко не все особенности, которыми может похвастаться это кресло. Игровое  кресло Speedlink LOOTER – это многочасовые игровые сражения с комфортом и без ощущения усталости!

Технические характеристики:

Игровое эргономичное компьютерное кресло
Удобная обивочная ткань на спинке, сиденье и подлокотниках для длительных игр
Поворот на 360° для отличного обзора
Встроенный подголовник
Вентиляционные отверстия в спинке
Регулируемое по высоте сиденье с газлифтом
Блокировка в разных положениях
Рекомендуемый рост: от 165 до 185см
Максимальная нагрузка: 130кг
Размеры: 64 × 68 × 114-122см (Ш × Г × В)
Размеры сиденья: ок. 40 × 48 × 44-52см (Ш × Г × В)
Угол наклона спинки: от 90 до 110°
Монтажный инструмент и инструкция входят в комплект",SL-660001-BKWE,Игровое,"Искусственная кожа, ткань",Красный/Черный,Высокая,до 110 градусов,130 кг,Есть,12 месяцев
