Detailed image,Бренд,Category,Product code,Название,Артикул,Описание,Тип клавиатуры,Тип переключателей,Клавиши Anti-ghost,Интерфейс,Подсветка,Встроенная память,Встроенный USB-порт,Встроенные аудио-входы,Дополнительные макроклавиши,Мультимедиа клавиши,Подставка для рук,Укладка кабеля,Длина провода,Вес,Размеры,Гарантия,Страна производитель
,,,,,,,,,,,,,,,,,,,,,,,
"TS-G12ULPw/1.jpg///TS-G12ULPw/2.jpg///TS-G12ULPw/3.jpg///TS-G12ULPw/4.jpg///TS-G12ULPw/5.jpg
",Tesoro,Клавиатуры///Tesoro,TS-G12ULPw,Tesoro Gram Spectrum White USB,TS-G12ULPw ,"GRAM Spectrum – это инновационные низкопрофильные переключатели Kailh Blue. Ощутите четкую отдачу при нажатии на клавишу, быструю реакцию и точное срабатывание. Благодаря гладкой металлической поверхности, прекрасная RGB-подсветка отражается от корпуса, и кажется, что клавиатура светится целиком. GRAM Spectrum сочетает в себе максимальную производительность с непревзойденным, не устаревающим со временем дизайном. Доминируйте в мощи и стиле с механической клавиатурой GRAM Spectrum!

Особенности:

Механические переключатели Kailh Red
60 миллионов гарантированных нажатий.

Индивидуальная подсветка клавиш
Для каждой клавиши GRAM Spectrum можно установить свой цвет подсветки. В каждый переключатель установлен отдельный светодиод с возможностью настройки цвета. Также предусмотрено девять вариантов эффектов.

32 битный процессор ARM Cortex
Используйте программное обеспечение Tesoro для настройки вашей платы в соответствии с потребностями вашего игрового процесса.

Встроенная память 512 Кб
Встроенная память позволяет создавать и сохранять любые макросы для того, чтобы еще легче и быстрее побеждать своих соперников в игре.

Удобный кабель
Отсоединяемый кабель GRAM Spectrum дает возможность беспрепятственно взять клавиатуру в путешествие и играть в любых местах.

Полная поддержка N-Key / 6-Key Rollover
Механическая клавиатура с нулевым гостингом. С GRAM Spectrum не будет пропущенных нажатий.

Разработана для оптимизации
Компания Tesoro намеревалась создать самую быструю механическую клавиатуру без ущерба для тактильного ощущения. GRAM Spectrum полностью отвечает этим требованиям и при этом обладает приятными на ощупь низкопрофильными клавишами.

Интуитивное программное обеспечение
Используйте программное обеспечение Tesoro для настройки клавиатуры в соответствии с Вашими потребностями в игре.

Полная настройка
С помощью полностью программируемых клавиш Вы можете подстроить клавиатуру под Ваши потребности и желания, а также получить преимущество над другими игроками.",Механическая,AGILE Slim Red,6-Key / N-Key rollover,USB,16.8 млн. цветов,Да,Нет,Нет,Нет,Да,Нет,Нет,1.8 м,1.12 кг,445х136х25 мм,1 год,Китай
"TS-G12ULP/1.jpg///TS-G12ULP/2.jpg///TS-G12ULP/3.jpg///TS-G12ULP/4.jpg///TS-G12ULP/5.jpg
",Tesoro,Клавиатуры///Tesoro,TS-G12ULP,Tesoro Gram Spectrum Black USB,TS-G12ULP,"GRAM Spectrum – это инновационные низкопрофильные переключатели Kailh Blue. Ощутите четкую отдачу при нажатии на клавишу, быструю реакцию и точное срабатывание. Благодаря гладкой металлической поверхности, прекрасная RGB-подсветка отражается от корпуса, и кажется, что клавиатура светится целиком. GRAM Spectrum сочетает в себе максимальную производительность с непревзойденным, не устаревающим со временем дизайном. Доминируйте в мощи и стиле с механической клавиатурой GRAM Spectrum!

Особенности:

Механические переключатели Kailh Red
60 миллионов гарантированных нажатий.

Индивидуальная подсветка клавиш
Для каждой клавиши GRAM Spectrum можно установить свой цвет подсветки. В каждый переключатель установлен отдельный светодиод с возможностью настройки цвета. Также предусмотрено девять вариантов эффектов.

32 битный процессор ARM Cortex
Используйте программное обеспечение Tesoro для настройки вашей платы в соответствии с потребностями вашего игрового процесса.

Встроенная память 512 Кб
Встроенная память позволяет создавать и сохранять любые макросы для того, чтобы еще легче и быстрее побеждать своих соперников в игре.

Удобный кабель
Отсоединяемый кабель GRAM Spectrum дает возможность беспрепятственно взять клавиатуру в путешествие и играть в любых местах.

Полная поддержка N-Key / 6-Key Rollover
Механическая клавиатура с нулевым гостингом. С GRAM Spectrum не будет пропущенных нажатий.

Разработана для оптимизации
Компания Tesoro намеревалась создать самую быструю механическую клавиатуру без ущерба для тактильного ощущения. GRAM Spectrum полностью отвечает этим требованиям и при этом обладает приятными на ощупь низкопрофильными клавишами.

Интуитивное программное обеспечение
Используйте программное обеспечение Tesoro для настройки клавиатуры в соответствии с Вашими потребностями в игре.

Полная настройка
С помощью полностью программируемых клавиш Вы можете подстроить клавиатуру под Ваши потребности и желания, а также получить преимущество над другими игроками.",Механическая,AGILE Slim Blue,6-Key / N-Key rollover,USB,16.8 млн. цветов,Да,Нет,Нет,Нет,Да,Нет,Нет,1.8 м,1.12 кг,445х136х25 мм,1 год,Китай
"TS-G1NL V2/1.jpg///TS-G1NL V2/2.jpg///TS-G1NL V2/3.jpg///TS-G1NL V2/4.jpg///TS-G1NL V2/5.jpg
",Tesoro,Клавиатуры///Tesoro,TS-G1NL V2,Tesoro Durandal Ultimate black usb,TS-G1NL V2,"Механическая клавиатура, переносящая ощущения от игры на новый уровень
Tesoro Durandal v2 – механическая клавиатура, переносящая ощущения от игры на новый уровень. Девайс оснащен механическими переключателями Cherry MX Blue, способными выдержать более 50 миллионов срабатываний, однако также устройство доступно и с черной версией переключателей. Durandal v2 не только позволит вам наслаждаться любимыми играми, но и придаст новый вид вашему логову геймера благодаря темно-красной подсветке.
Клавиатура Durandal Ultimate выпускается в нескольких модификациях: каждая с отдельным типом переключателей Cherry MX. Переключатели отличаются друг от друга конструкцией и, как следствие, поведением. Выбор переключателей зависит только от ваших целей и профессионального опыта..

Данная клавиатура имеет переключатель  типа Cherry MX Blue и Cherry MX Black

Механические переключатели Cherry MX
Быстрота и точность действия. 50 миллионов гарантированных нажатий.

Индивидуальная подсветка клавиш
Клавиатура имеет ""агрессивную"" и яркую подсветку красного цвета.

32 битный процессор ARM Cortex
Умная клавиатура это отсутствие лагов и 100% производительность.

Встроенная память 512 Кб
Встроенная память клавиатуры позволяет сохранить на ней макросы и использовать из для игры на разных ПК.

Удобный кабель
Качественный кабель не допустит заломов.

Полная поддержка N-Key / 6-Key Rollover
Клавиатура поддерживает N-Key / 6-Key Rollover на выбор пользователя.",Механическая,Cherry MX,NKRO,USB,Одноцветная,Да,Да,Да,Нет,Да,Да,Нет,1.55м,1.4 кг,"455 x 206 x 43,4 мм",1 год,Китай
"TS-G7NL V2/1.jpg///TS-G7NL V2/2.jpg///TS-G7NL V2/3.jpg
",Tesoro,Клавиатуры///Tesoro,TS-G7NL V2,Tesoro Excalibur V2 Kailh Blue,TS-G7NL V2,"Excalibur V2 - это классический подход к геймингу. Tesoro EXCALIBUR V2 - это все необходимые инструмены, для того, чтобы доминировать в поле битвы без дополнительных, часто ненужных функций.
Тesoro Excalibur V2 – механическая клавиатура с рядом преимуществ, не доступных другим клавиатурам из аналогичной ценовой категории. С функцией N-Key Rollover ни одно действие не останется незарегистрированным. Приятная подсветка клавиатуры легко настраивается и позволяет пользователю подсвечивать как всю клавиатуру, так и только необходимые клавиши. Excalibur — первая клавиатура Tesoro, выполненная в исключительно строгом стиле. Ровные контуры корпуса сделают её подходящей и для игровой станции, и для рабочего места, а голубая подсветка сделает использование устройства комфортным в любое время суток.

Подсветка каждой клавиши
Яркая синяя подсветка, которую вы можете настроить по собственному желанию

60 миллионов нажатий клавиш
Excalibur V2 разработан, чтобы выдержать испытание временем

Anti-ghosting N-key / 6-key rollover
Excalibur Spectrum может не отставать от скорости даже самых быстрых игроков

Полностью программируемые клавиши
Программируемые клавиши для личных предпочтений каждого игрока

Ультра частота опроса 1000 Гц
Устраните отставание от других игроков с частотой опроса 1000 Гц.

Управление подсветкой
Выберите один из девяти различных предустановленных световых эффектов с простым управлением без необходимости в программном обеспечении

Мгновенная запись макросов
Мгновенно записывайте свои макросы на лету, чтобы быть впереди конкурентов

Интуитивное программное обеспечение
512Кб встроенной памяти

32-битный процессор Cortex
Используйте программное обеспечение Tesoro для настройки вашей платы в соответствии с потребностями вашего игрового процесса.",Механическая,Kailh Blue,NKRO,USB,Синяя,512 кб,Нет,Нет,Нет,Да,Да,Нет,1.8 м,1.3 кг,450 х 150 х 34 мм,1 год,Китай
"TS-G11SFL/1.jpg///TS-G11SFL/2.jpg///TS-G11SFL/3.jpg///TS-G11SFL/4.jpg///TS-G11SFL/5.jpg
",Tesoro,Клавиатуры///Tesoro,TS-G11SFL,Tesoro Gram Spectrum Black USB,TS-G11SFL,"Игровая механическая клавиатура
GRAM Spectrum – это инновационные низкопрофильные переключатели Kailh Blue. Ощутите четкую отдачу при нажатии на клавишу, быструю реакцию и точное срабатывание. Благодаря гладкой металлической поверхности, прекрасная RGB-подсветка отражается от корпуса, и кажется, что клавиатура светится целиком. GRAM Spectrum сочетает в себе максимальную производительность с непревзойденным, не устаревающим со временем дизайном.

Механические переключатели
Инновационные низкопрофильные переключатели Kailh Blue. Ощутите четкую отдачу при нажатии на клавишу, быструю реакцию и точное срабатывание.60 миллионов гарантированных нажатий.

Индивидуальная подсветка клавиш
Можете ли Вы вообразить, что такое подсветка с 16,8 миллионами цветов, которую еще и можно настроить, как вздумается? Выберите из девяти различных режимов, включая дыхание и волну, понравившийся и наслаждайтесь работой не только в светлое, но и темное время суток!

32 битный процессор ARM Cortex
Используйте программное обеспечение Tesoro для настройки вашей платы в соответствии с потребностями вашего игрового процесса.

Встроенная память 512 Кб
Встроенная память позволяет создавать и сохранять любые макросы для того, чтобы еще легче и быстрее побеждать своих соперников в игре.

Удобный кабель
Отсоединяемый кабель GRAM Spectrum дает возможность беспрепятственно взять клавиатуру в путешествие и играть в любых местах.

Полная поддержка N-Key / 6-Key Rollover
Клавиатура GRAM Spectrum обладает 100% Anti-ghosting. Эта функция гарантирует одновременную обработку всех клавиш без исключения.

Разработана для оптимизации
Компания Tesoro намеревалась создать самую быструю механическую клавиатуру без ущерба для тактильного ощущения. GRAM Spectrum полностью отвечает этим требованиям и при этом обладает приятными на ощупь низкопрофильными клавишами.

Полная настройка
С помощью полностью программируемых клавиш Вы можете подстроить клавиатуру под Ваши потребности и желания, а также получить преимущество над другими игроками.",Механическая,AGILE Slim Blue,6-Key / N-Key rollover,USB,16.8 млн. цветов,Да,Нет,Нет,Нет,Да,Нет,Нет,1.8 м,1.12 кг,445 х 136 х 25 мм,1 год,Китай
"TS-G2SFL/1.jpg///TS-G2SFL/2.jpg///TS-G2SFL/3.jpg///TS-G2SFL/4.jpg///TS-G2SFL/5.jpg///TS-G2SFL/6.jpg
",Tesoro,Клавиатуры///Tesoro,TS-G2SFL,Tesoro Tizona Spectrum Kailh Blue,TS-G2SFL,"Клавиатура Tizona Spectrum обладает широким спектром отличительных преимуществ, которые отличают егё от других клавиатур. Tizona Spectrum - идеальная компактная клавиатура для игроков во время турниров, когда очень важен компактный форм-фактор, а также для всех, кому нужно больше рабочего пространства. С помощью дополнительного двунаправленного нампада клавиатура с легкостью трансформируется в полноразмерную механическую клавиатуру.

Особый формат клавиатуры - Tenkeyless
Серия Tizone предлагает компактное и модульное решение с десятичной механической клавиатурой c оптическим, двунаправленным numpad. Numpad универсален и совместим с другими системами.

Съемный кабель
Съемный кабель длиной 1.8 м для большего комфорта при переноске клавиатуры и также, с возможностью замены кабеля.

RGB-подсветка 16.8 миллионов цветов
Полноценная настраиваемая RGB подсветка всех клавиш на клавиатуре Tizona Spectrum, с вариантами из 16,8 миллионами оттенков на выбор. Пусть ваша клавиатура светит так, как вам хочется!

USB-разъем
Дополнительный USB Разъем DC-IN с возможностью подключения и зарядки смартфонов и других дополнительных устройств.

Механические переключатели Kailh Blue
Каждая клавиша Tizona - это отдельный переключатель. Каждый из них рассчитан на 50 миллионов нажатий.

Встроенная память
Встроенная память объёмом 512 Кб для хранения макросов в 5 игровых профилях. Программируются все клавиши.

Запись макросов на лету
Все клавиши устройства могут быть настроены и запрограммированы согласно любым требованиям пользователя.

Технология N-Key Rollover
Технология N-Key Rollover благодаря технологии анти-гостинг поддерживается любое количество одновременных нажатий.",Механическая,Kailh Blue,NKRO,USB,16.8 млн. цветов,Нет,Нет,Нет,Нет,Да,Нет,Нет,1.8 м,1 кг,375 х 154 х 24 мм,1 год,Китай
"TS-G3SFL/1.jpg///TS-G3SFL/2.jpg///TS-G3SFL/3.jpg///TS-G3SFL/4.jpg///TS-G3SFL/5.jpg///TS-G3SFL/6.jpg
",Tesoro,Клавиатуры///Tesoro,TS-G3SFL,Tesoro Colada Spectrum Cherry MX Blue,TS-G3SFL,"Клавиатура Tizona Spectrum обладает широким спектром отличительных преимуществ, которые отличают егё от других клавиатур. Tizona Spectrum - идеальная компактная клавиатура для игроков во время турниров, когда очень важен компактный форм-фактор, а также для всех, кому нужно больше рабочего пространства. С помощью дополнительного двунаправленного нампада клавиатура с легкостью трансформируется в полноразмерную механическую клавиатуру.

Особый формат клавиатуры - Tenkeyless
Серия Tizone предлагает компактное и модульное решение с десятичной механической клавиатурой c оптическим, двунаправленным numpad. Numpad универсален и совместим с другими системами.

Съемный кабель
Съемный кабель длиной 1.8 м для большего комфорта при переноске клавиатуры и также, с возможностью замены кабеля.

RGB-подсветка 16.8 миллионов цветов
Полноценная настраиваемая RGB подсветка всех клавиш на клавиатуре Tizona Spectrum, с вариантами из 16,8 миллионами оттенков на выбор. Пусть ваша клавиатура светит так, как вам хочется!

USB-разъем
Дополнительный USB Разъем DC-IN с возможностью подключения и зарядки смартфонов и других дополнительных устройств.

Механические переключатели Kailh Blue
Каждая клавиша Tizona - это отдельный переключатель. Каждый из них рассчитан на 50 миллионов нажатий.

Встроенная память
Встроенная память объёмом 512 Кб для хранения макросов в 5 игровых профилях. Программируются все клавиши.

Запись макросов на лету
Все клавиши устройства могут быть настроены и запрограммированы согласно любым требованиям пользователя.

Технология N-Key Rollover
Технология N-Key Rollover благодаря технологии анти-гостинг поддерживается любое количество одновременных нажатий.",Механическая,Cherry MX Blue,6-Key / N-Key rollove,USB,16.8 млн. цветов,512 Кб,Да,Да,Нет,Да,Да,Нет,1.8 м,"1,7 кг",500 х 185 х 39 мм,1 год,Китай
