Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Серия,Модель,Материал сиденья,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг),Функция кресла-качалки,Гарантия,Вес,Вес в упаковке,Размер в упаковке,Weight
,,,,,,,,,,,,,,,,,,,,,
"MEZZO-BK/1.jpg///MEZZO-BK/2.jpg///MEZZO-BK/3.jpg///MEZZO-BK/4.jpg///MEZZO-BK/5.jpg
",Игровые кресла///Arozzi,MEZZO-BK,Arozzi,Arozzi Mezzo Black ,,MEZZO-BK,кресло игровое, Mezzo,"
",экокожа,черный,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг
"MEZZO-BL/1.jpg///MEZZO-BL/2.jpg///MEZZO-BL/3.jpg///MEZZO-BL/4.jpg///MEZZO-BL/5.jpg
",Игровые кресла///Arozzi,MEZZO-BL,Arozzi,Arozzi Mezzo Blue ,,MEZZO-BL,кресло игровое,Mezzo,"
",экокожа,черный-синий,"регулируются
",Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг
"MEZZO-GN/1.jpg///MEZZO-GN/2.jpg///MEZZO-GN/3.jpg///MEZZO-GN/4.jpg///MEZZO-GN/5.jpg///MEZZO-GN/6.jpg
",Игровые кресла///Arozzi,MEZZO-GN,Arozzi,Arozzi Mezzo Green ,,MEZZO-GN,кресло игровое,Mezzo,"
",экокожа,черный-зеленый,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг
"MEZZO-OR/1.jpg///MEZZO-OR/2.jpg///MEZZO-OR/3.jpg///MEZZO-OR/4.jpg///MEZZO-OR/5.jpg
",Игровые кресла///Arozzi,MEZZO-OR,Arozzi,Arozzi Mezzo Orange ,,MEZZO-OR,кресло игровое,Mezzo,"
",экокожа,черный-оранжевый,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг
"MEZZO-RD/1.jpg///MEZZO-RD/2.jpg///MEZZO-RD/3.jpg///MEZZO-RD/4.jpg///MEZZO-RD/5.jpg
",Игровые кресла///Arozzi,MEZZO-RD,Arozzi,Arozzi Mezzo Red ,,MEZZO-RD,кресло игровое,Mezzo,"
",экокожа,черный-красный,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг
"MEZZO-YL/1.jpg///MEZZO-YL/2.jpg///MEZZO-YL/3.jpg///MEZZO-YL/4.jpg///MEZZO-YL/5.jpg
",Игровые кресла///Arozzi,MEZZO-YL,Arozzi, Arozzi Mezzo Yellow ,,MEZZO-YL,кресло игровое,Mezzo,"
",экокожа,"черный-желтый",регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг
"MONZA-YL/1.jpg///MONZA-YL/2.jpg///MONZA-YL/3.jpg///MONZA-YL/4.jpg///MONZA-YL/5.jpg
",Игровые кресла///Arozzi,MONZA-YL,Arozzi,Arozzi Monza - Yellow,,MONZA-YL,кресло игровое,Monza,"
",экокожа,"черный-желтый",не регулируются,Средяя,нет,105 кг,Есть,12 мес.,15 кг,17 кг,79 x 64 x 32см,17 кг
"TORRETTA-GY/1.jpg///TORRETTA-GY/2.jpg///TORRETTA-GY/3.jpg///TORRETTA-GY/4.jpg///TORRETTA-GY/5.jpg
",Игровые кресла///Arozzi,TORRETTA-GY ,Arozzi,Arozzi Torretta Green V2 ,,TORRETTA-GY ,кресло игровое,Torretta ,"
 V2 ",текстиль,"черный-зеленый",регулируются,Высокая,до 165 градусов,105 кг,Есть,12 мес.,21 кг,24.5 кг,88 x 71 x 39 см,24.5 кг
"ENZO-BK/1.jpg///ENZO-BK/2.jpg///ENZO-BK/3.jpg///ENZO-BK/4.jpg///ENZO-BK/5.jpg
",Игровые кресла///Arozzi,ENZO-BK,Arozzi,"Arozzi Enzo, Black",,ENZO-BK,кресло игровое, Enzo,"
",экокожа,черный,не регулируются,Высокая,нет,105 кг,Есть,12 мес.,15 кг,17 кг,79 x 64 x 32 см,17 кг
,Игровые кресла///Arozzi,VERNAZZA-WOT,Arozzi,Arozzi Vernazza World of Tanks ,,VERNAZZA-WOT,кресло игровое,Vernazza ,World of Tanks,экокожа,черный-оранжевый,регулируются,Высокая,до 165 градусов,160 кг,Есть,12 мес.,26 кг,28.5 кг,86 x 69 x 35 см,28.5 кг
"VERONA-V2-GN/1.jpg///VERONA-V2-GN/2.jpg///VERONA-V2-GN/3.jpg///VERONA-V2-GN/4.jpg///VERONA-V2-GN/5.jpg
",Игровые кресла///Arozzi,VERONA-V2-GN,Arozzi,Arozzi Verona - Green ,,VERONA-V2-GN,кресло игровое,Verona,"
",экокожа,"черный-зеленый",регулируются,Высокая,до 165 градусов,105 кг,Есть,12 мес.,22 кг,25.5 кг,86 x 69 x 35 см,25.5 кг
